HJFC,Finger Licking Good!,"68 Orchard Rd, Plaza Singapura, #B1-21/22, Singapore 238839",
Mom's Kitchen,"Take a break from your busy business schedules or need a boost before heading back to your school works or simply just enjoying a leisurely family outing; do drop by here to enjoy a great bowl of your favourite dessert. In Mom's Kitchen, we remain committed to serve fresh and tasty desserts. And we stay open every day to serve to all our customers’ needs. So come visit us soon.","5 Cross St, Unit 01-30, Singapore 048418",
Purple Sage,"Purple Sage cooks a range of delicious dishes from fresh, local produce. Using a high level of technical skill, they are able to achieve fusion of flavours by taking a modern twist on traditional recipes. Their food contains only the finest, natural ingredients and contains less oil & less salt.","157 Pandan Loop, Singapore 128355",
Broth Asia,"Broth Asia soup makes you feel warm inside. Happy, safe, comforted, and at home. Each one is unique, an expression of the culture that inspired it and the home cooking that created it.","252 North Bridge Road, #B1-62 Rafffles City Shopping Centre, 179103, 179103",
Fusion Spoon,"Fusion Spoon is a unique casual dining place for families and friends Visitors can enjoy a wide selection of affordable food and beverages from various cuisine choices such as Western, Asian and Japanese. There is also a waffle and Korean bingsu ice kiosk at Fusion Spoon, for those looking for a little treat after a day out in the Gardens.","Singapore Botanic Gardens, Tanglin Gate, 1 Cluny Rd, #B1-00, 259569",
,,,
Handmade Coleslaw,"Fresh white cabbage, grated carrots, white onions,red peppers & mayo",2.95,"western,side dish"
Mixed lead slide salad,Mixed lead salad with a choice of dressing ,7.88,"salad,side dish"
Corn on the cob ,Fresh chargrilled corn on the cob ,3.99,side dish
Pit Wings,"Our BBQ chicken wings, marinated for up to 48 hours & smothered in a choiece of hot sauce or pit saruce",10,BBQ
Banaoffee pie ,"Vanillla cream, banana,biscuit, caramet sauce, topped with whipped cream ",4.8,side dish
,,,
Strawberry Cheesecake,"Vanilla ice cream, strawberry coulis, biscuit",5.9,"fruit,dessert"
Bramley appl3 pie ,"Vanilla ice cream, bramley apple compote, biscuit, topped with whipped cream ",5.2,"fruit,dessert"
Brownie & Waffle,"Vanilla ice cream, chocolate sauce, brownie, waffle, toffee sauce, topped with whipped cream ",6.6,"fruit,dessert"
Children's ice cream,Vanilla ice cream with a choice of strawberry or chocolate sauce,4.5,"fruit,dessert"
Denver Chips ,"Handmade chips topped with our ""slow n low' 6 hour cooked marinated pulled pork, melted cheese & HBC BBQ pit sauce",4.95,"handmade, chip"
,,,
Hipster Chips,"Handmade chips topped with jalapeno slaw, finished with Siriacha mayo & fresh spring ionions ",3.95,"chip, handmade"
Classic beef ,"Our original HBC burger relish, mayo, lettuce, tomato&red onion",6.65,"meat, main dish"
Cheese Classic ,"Mature cheddar, our original HBC burger relish, mayo, lettuce, tomato& red onion",7.55,"vege,main dish"
Peaut butter & Bacon,"Peanut butter, smoked bacon, chilli jam, lettuce, tomato & red onion",8.35,"meat,main dish"
Cheese & Bacon,"Mature cheddar, smoked bacon,our msokey barbecue, relish,mayo, lettuce, tomato & red onion",8.85,"meat,main dish"
,,,
Mapo Tofu,"Squishy, savoury soft goodness.",8.85,"spicy, meat, main dish"
Mixed Penang Curry,"Stir fried with coconut milk, with curry paste and bring it to a boil. This is our amazing curry.",8.75,"spicy, meat"
Orange Chicken,A burst of fruity flavour infused the the most amazing chicken. Carefully handpicked by our finest chefs.,8.75,"meat, main dish"
Mixed Stir Fry Beef,Juicy and tender yet firm. Our olive wagyu beef is world class.,8.75,"meat, main dish"
Fried Pork Rice,Fried rice with the familiar flavour of Wok Hey. A flavour burt in your mouth on the first bite.,7.85,"meat, vege"
,,,
Blue Cheese & Bacon,"HBC blue cheese mayo, smoked bacon, mayo, lettuce, tomato& red onion",8.85,"meat, main dish"
Avocado & Bacon ,"Hand crushed avocado, smoked bacon, mayo, lettue, tomato & red onion ",8.75,"vege, main dish,meat"
Peppered Beef ,"Onion rings, flat mushroom, caramelised red onion reslish, peppercom sauce, mayo, rocket. Tomato, & red onion ",8.85,"meat, main dish, western"
"Macho Barbecue Beef, Cheese & Bacon","Two beef patties, mature cheddar, smoked bacon, our smoky barbecue relish, mayo, lettuce, tomato & RED IONIPN ",11.95,"meat, main dish,vege"
American BBQ Bacon Stuffed,"Handmade patty stuffed with Swiss cheese, topped with somke bacon, HBC BBQ pit sauce, mayo, shredded iceberg lettuce & red onion",9.85,"meat, main dish, BBQ,western"
